cty,Name,Change_in_Fraction_of_College_Graduates
cty18067,"Howard County, IN",4.4872169
cty18025,"Crawford County, IN",4.3671546
cty18065,"Henry County, IN",4.010499
cty18027,"Daviess County, IN",4.0081239
cty18045,"Fountain County, IN",3.9226465
cty18083,"Knox County, IN",3.8501377
cty17201,"Winnebago County, IL",3.7987194
cty18049,"Fulton County, IN",3.6429377
cty18069,"Huntington County, IN",3.6386166
cty18039,"Elkhart County, IN",3.3388529
cty18021,"Clay County, IN",3.3382158
cty18009,"Blackford County, IN",3.1772404
cty18015,"Carroll County, IN",3.1542368
cty17191,"Wayne County, IL",2.128623
cty18001,"Adams County, IN",1.6547651
cty18007,"Benton County, IN",
cty18075,"Jay County, IN",3.123642
cty18087,"LaGrange County, IN",2.4732308
cty18023,"Clinton County, IN",1.2237434
cty18079,"Jennings County, IN",1.0936866
cty18055,"Greene County, IN",1.0635128
cty18041,"Fayette County, IN",0.40853596
cty18057,"Hamilton County, IN",
cty18173,"Warrick County, IN",8.9245205
cty18183,"Whitley County, IN",7.6828232
cty18105,"Monroe County, IN",7.2163849
cty18147,"Spencer County, IN",7.0374737
cty18141,"St. Joseph County, IN",6.5010185
cty18129,"Posey County, IN",6.3468704
cty18097,"Marion County, IN",6.3057995
cty18151,"Steuben County, IN",5.8839989
cty18107,"Montgomery County, IN",5.8633833
cty18089,"Lake County, IN",5.5413456
cty18127,"Porter County, IN",5.5354519
cty18155,"Switzerland County, IN",5.496984
cty18163,"Vanderburgh County, IN",5.306056
cty18113,"Noble County, IN",5.1759844
cty18169,"Wabash County, IN",5.1445417
cty18117,"Orange County, IN",4.9318871
cty18131,"Pulaski County, IN",4.9012318
cty18091,"LaPorte County, IN",4.8752928
cty18133,"Putnam County, IN",4.7744169
