cty,Name,Change_in_Poverty_Rate
cty13255,"Spalding County, GA",3.5752306
cty13161,"Jeff Davis County, GA",3.4028721
cty13241,"Rabun County, GA",2.4435081
cty13153,"Houston County, GA",1.6874132
cty13175,"Laurens County, GA",1.3952484
cty13195,"Madison County, GA",1.1812077
cty13151,"Henry County, GA",1.1586022
cty13193,"Macon County, GA",1.0972252
cty13221,"Oglethorpe County, GA",0.9843502
cty13157,"Jackson County, GA",0.54506588
cty13233,"Polk County, GA",0.53782272
cty13189,"McDuffie County, GA",0.27026367
cty13261,"Sumter County, GA",0.23363304
cty13179,"Liberty County, GA",0.21410561
cty13215,"Muscogee County, GA",0.095584869
cty13185,"Lowndes County, GA",-0.022544861
cty13159,"Jasper County, GA",-0.35795784
cty13211,"Morgan County, GA",-0.38126659
cty13235,"Pulaski County, GA",-0.47327232
cty13149,"Heard County, GA",-1.1656513
cty13257,"Stephens County, GA",-1.219779
cty13231,"Pike County, GA",-2.8387718
cty13163,"Jefferson County, GA",-2.9769726
cty13165,"Jenkins County, GA",
cty13219,"Oconee County, GA",-0.98502111
cty13225,"Peach County, GA",-0.99175835
cty13227,"Pickens County, GA",-1.7658281
cty13177,"Lee County, GA",-4.4768515
cty13199,"Meriwether County, GA",-5.0121536
cty13173,"Lanier County, GA",-6.0265789
cty13181,"Lincoln County, GA",
cty13187,"Lumpkin County, GA",0.16034031
cty13191,"McIntosh County, GA",-4.799057
cty13183,"Long County, GA",-6.5624657
cty13197,"Marion County, GA",
cty13201,"Miller County, GA",
cty13223,"Paulding County, GA",-0.47684288
cty13207,"Monroe County, GA",-1.9774408
cty13237,"Putnam County, GA",-2.7072268
cty13217,"Newton County, GA",-2.8845491
cty13229,"Pierce County, GA",-3.3478165
cty13251,"Screven County, GA",-5.2029686
cty13205,"Mitchell County, GA",-7.8978004
cty13209,"Montgomery County, GA",
cty13243,"Randolph County, GA",
cty13253,"Seminole County, GA",-10.409914
cty13263,"Talbot County, GA",
cty13279,"Toombs County, GA",5.1797409
cty16049,"Idaho County, ID",4.8310547
cty16041,"Franklin County, ID",3.6885624
cty13285,"Troup County, GA",2.42033
cty13277,"Tift County, GA",1.9189548
cty13275,"Thomas County, GA",-1.458004
cty13267,"Tattnall County, GA",-2.3595562
cty13269,"Taylor County, GA",
cty13271,"Telfair County, GA",0.27017021
cty13273,"Terrell County, GA",
cty13305,"Wayne County, GA",-3.8984051
cty13281,"Towns County, GA",-4.4027319
cty13283,"Treutlen County, GA",
cty13287,"Turner County, GA",
cty13289,"Twiggs County, GA",
cty16021,"Boundary County, ID",4.7482538
cty13303,"Washington County, GA",3.4780102
cty13295,"Walker County, GA",2.3406773
cty15007,"Kauai County, HI",2.2622271
cty16031,"Cassia County, ID",1.9615774
cty16027,"Canyon County, ID",1.7723007
cty15003,"Honolulu County, HI",1.3877897
cty16005,"Bannock County, ID",1.2361546
cty16001,"Ada County, ID",0.60904789
cty13317,"Wilkes County, GA",0.60883522
cty16019,"Bonneville County, ID",0.4488678
cty15009,"Maui County, HI",-0.052056789
cty13299,"Ware County, GA",-0.27694702
cty16011,"Bingham County, ID",-0.39185333
cty15001,"Hawaii County, HI",-0.65170193
cty16047,"Gooding County, ID",-1.1632309
cty16039,"Elmore County, ID",-1.3456469
cty13297,"Walton County, GA",-1.3721085
cty16009,"Benewah County, ID",-1.5333548
cty16017,"Bonner County, ID",-2.1313915
cty16045,"Gem County, ID",-4.0991039
cty13321,"Worth County, GA",-4.7731438
cty13291,"Union County, GA",-4.9406528
cty13293,"Upson County, GA",
cty13301,"Warren County, GA",
cty13311,"White County, GA",
cty13313,"Whitfield County, GA",
cty13315,"Wilcox County, GA",
cty13319,"Wilkinson County, GA",
cty16007,"Bear Lake County, ID",
cty16029,"Caribou County, ID",
cty16035,"Clearwater County, ID",
cty17033,"Crawford County, IL",6.2379618
cty16065,"Madison County, ID",5.856287
cty17029,"Coles County, IL",5.072464
cty17019,"Champaign County, IL",4.9938774
cty16057,"Latah County, ID",4.334671
cty17051,"Fayette County, IL",4.1314659
